player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0039165,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,135,569.0,8,0.0,0.0,32.0,-11.281588777757774,0,42,52,308.0,1,0.0,0.0,-54.0,345.0,7.0,-7.442102621267638,0,-62.24801587301587,1.5953256604259698,-0.354304562700461,2.144975296748632,0.0,141.70000000000002,183.70000000000002,17,0.08768971332209106,-0.013125911521633447,0.1576782449725777,0.12103384076582983,0.07033569308061201,0.047619047619047616,0.03317535545023697,0.034482758620689655,0.05897737034982981,0.06579236398829913,0.5193929173693086,0.12534457818171896
00-0039236,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,15,38.0,1,0.0,0.0,147.0,15.0,3.0,-1.154108721046577,0,2.057739557739558,0.5029590319613751,0.7449449859712565,1.2759000381219423,0.0,9.8,14.8,9,0.05555555555555555,0.07503828483920368,0.015151515151515152,0.14336396120469627,0.019162884518406455,0.07692307692307693,0.030303030303030304,0.03571428571428571,0.04804298072074169,0.03071492299934055,0.14074074074074075,0.018309580364212194
00-0039244,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,12.0,0,0.0,0.0,0.0,-3.004719461896457,0,1,2,-4.0,0,0.0,0.0,-5.0,1.0,0.0,-1.598184967180714,0,0.8,0.058823529411764705,-0.01694915254237288,0.07637088733798604,0.0,0.8,1.8,2,0.028169014084507043,-0.007739938080495356,0.006756756756756757,0.036061570662364276,-0.008565310492505354,0.0,0.0,0.0,-0.004282655246252677,-0.006852248394004283,-0.056338028169014086,0.010721944245889922
00-0039299,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,10.0,0,0.0,0.0,1.0,-0.7718284350121394,0,1,1,-1.0,0,0.0,0.0,-1.0,0.0,0.0,-0.40869680093601346,0,1.0,0.034482758620689655,-0.00625,0.047349137931034485,0.0,0.9,1.9,2,0.015873015873015872,-0.0028169014084507044,0.0,0.021556002682763246,-0.0024630541871921183,0.0,0.0,0.0,-0.0012315270935960591,-0.001970443349753695,-0.015873015873015872,0.012629619781972879
00-0039316,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.6781798339216039,0,0.0,0.027777777777777776,0.0,0.041666666666666664,0.0,0.0,0.0,1,0.02702702702702703,0.0,0.0,0.04054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0039325,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,56,183.0,0,3.0,2.0,14.0,-11.983610462734525,0,7,11,26.0,0,0.0,0.0,-17.0,43.0,0.0,-2.9024881075602025,0,-6.833333333333333,0.3967305201650553,-0.10610647615466917,0.5208212469393144,0.0,16.900000000000002,23.900000000000002,12,0.02763819095477387,-0.007172995780590718,0.026445264452644526,0.035718889807688226,0.009382894261999277,0.0,0.0,0.0,0.004691447130999639,0.0075063154095994225,0.06532663316582915,0.023604005767673377
00-0039337,2024,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,-0.9637323682836723,0,0.0,0.0,5,2.0,0,0.0,0.0,1.0,-0.5598147131386213,0,109,170,1204.0,7,1.0,0.0,1609.0,462.0,55.0,45.58841608825111,1,12.966742600565635,5.3556100074078605,6.977267090671264,12.917501974581675,0.0,164.60000000000002,273.6,15,0.32945736434108525,0.4510793383795907,0.30985915492957744,0.8550495172153005,0.39359267734553777,0.5384615384615384,0.3767123287671233,0.389937106918239,0.4660271079035381,0.42256644956873796,2.3333333333333335,0.25566270464229646
00-0039338,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,13.0,0,0.0,0.0,2.0,-0.8622522107325494,0,112,153,1194.0,5,0.0,0.0,923.0,596.0,61.0,27.10558140553514,0,23.526103310715165,4.34115027663621,3.9416350248810357,9.27086993237104,0.0,150.70000000000002,262.7,17,0.2409448818897638,0.20718294051627384,0.2891800097040272,0.5271636752476647,0.29001700267184843,0.2631578947368421,0.291866028708134,0.2894736842105263,0.27658744870434526,0.28464518108484715,1.8803149606299212,0.19900309072177444
00-0039342,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,24.0,0,0.0,0.0,2.0,-0.5907587714027613,0,49,84,497.0,4,0.0,0.0,1030.0,112.0,27.0,5.464763540836106,0,10.993610893124112,2.7797656565934408,3.569764119145275,6.668483368291853,0.0,76.10000000000001,125.10000000000001,15,0.1696969696969697,0.2442494664453403,0.08595548733691481,0.44994502770172684,0.15683180814136952,0.2,0.17307692307692307,0.17613636363636365,0.17841590407068475,0.16546544651309564,1.004040404040404,0.10839051777916407
00-0039344,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,9,22.0,0,0.0,0.0,0.0,-2.7779255713685416,0,3,3,23.0,0,0.0,0.0,-8.0,31.0,2.0,1.456625814549625,0,-2.875,0.07317073170731707,-0.0199501246882793,0.09579101027918009,0.0,4.500000000000001,7.500000000000001,3,0.02608695652173913,-0.007252946509519492,0.1169811320754717,0.0333280775749931,0.030585106382978722,0.0,0.05263157894736842,0.04878048780487805,0.015292553191489361,0.02446808510638298,0.2,0.03056483821012308
00-0039355,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,18,24,168.0,0,0.0,0.0,170.0,97.0,8.0,4.310106011154053,0,10.313584563584563,0.8256756159899464,0.7107808195659047,1.736059997681053,0.0,16.8,34.8,12,0.06282722513089005,0.05792163543441227,0.07111436950146628,0.14057814604386487,0.05874125874125874,0.0,0.058394160583941604,0.050955414012738856,0.02937062937062937,0.04699300699300699,0.4397905759162304,0.03037709497206704
00-0039356,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,33,43,342.0,1,1.0,0.0,268.0,190.0,13.0,11.650561878045883,0,31.280091721458163,1.545543988211331,1.4212619300239935,3.3131993333337917,0.0,40.2,73.2,15,0.09052631578947369,0.06955618998183234,0.1516360734237829,0.19143442566967642,0.11573604060913706,0.05263157894736842,0.0896551724137931,0.08536585365853659,0.08418380977825274,0.10311514827678334,0.72,0.06646086798619938
00-0039359,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,15,22,133.0,1,0.0,0.0,118.0,94.0,5.0,4.6233361817430705,0,14.788571428571428,0.699797840731997,0.45132171812010125,1.3656219637820664,0.0,19.3,34.3,13,0.05128205128205128,0.03341829510053809,0.0689149560117302,0.1036577130035074,0.04380764163372859,0.07692307692307693,0.03424657534246575,0.03773584905660377,0.06036535927840276,0.05043072869159826,0.31002331002331,0.033406704715896914
00-0039361,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,207,1122.0,8,2.0,1.0,52.0,20.879305200389354,0,47,52,392.0,0,0.0,0.0,-159.0,528.0,16.0,15.518046194164771,0,-23.07889574193922,1.5511855506949717,-0.8033504590546618,1.7644330047041943,0.0,197.4,244.4,17,0.09106830122591944,-0.04007056451612903,0.21577441765427052,0.10454600022597592,0.08701442841287459,0.0,0.07142857142857142,0.06037735849056604,0.04350721420643729,0.06961154273029967,0.6865148861646234,0.13875326444873395
00-0039363,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,84,420.0,4,0.0,0.0,18.0,4.852067155530676,0,15,16,152.0,0,1.0,0.0,50.0,107.0,7.0,6.534524605667684,0,6.956410256410257,0.5681480400265979,0.14608648777974498,0.9544826014857183,0.0,81.2,96.2,13,0.03931203931203931,0.01353546291283162,0.07508771929824562,0.06979642929832426,0.04315729699034639,0.0,0.04430379746835443,0.03954802259887006,0.021578648495173196,0.03452583759227711,0.37346437346437344,0.08195045490169352
00-0039364,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,6,14.0,0,0.0,0.0,0.0,-3.174680726719089,0,3,3,37.0,0,0.0,0.0,17.0,20.0,2.0,4.233941710204817,0,11.133333333333333,0.08136792452830188,0.05058479532163743,0.15746124351759902,0.0,5.1,8.1,4,0.02027027027027027,0.01588785046728972,0.02621231979030144,0.04311568577923718,0.02564102564102564,0.0,0.029850746268656716,0.025974025974025976,0.01282051282051282,0.020512820512820513,0.25,0.01586617566402883
00-0039365,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,7.0,0,0.0,0.0,0.0,0.3806191333569586,0,4,6,80.0,0,0.0,0.0,86.0,26.0,3.0,4.25527123385109,0,2.782051282051282,0.18285477962897317,0.29739088647670736,0.4824557899771549,0.0,8.7,12.7,3,0.06,0.09695603156708005,0.0783132530120482,0.16756482525366403,0.09269988412514485,0.0,0.08108108108108109,0.07317073170731707,0.046349942062572425,0.07415990730011589,0.8,0.04443355958295431
00-0039373,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,76,310.0,2,2.0,1.0,15.0,-7.429717775516861,0,5,5,27.0,0,0.0,0.0,-10.0,37.0,2.0,-0.7653279736405239,0,-16.166666666666668,0.15725806451612903,-0.06725987163125892,0.18880518663231233,0.0,43.7,48.7,13,0.011185682326621925,-0.0031645569620253164,0.021971496437054632,0.014246877920312633,0.008766233766233766,0.0,0.013888888888888888,0.011695906432748537,0.004383116883116883,0.0070129870129870125,0.06040268456375839,0.04142917907273501
00-0039376,2024,REG,130,228,1317.0,4,5.0,22.0,136.0,4,3,1834.0,642.0,62.0,-74.79232699372507,0,5.250447753010537,0.013614364581284719,18,146.0,0,1.0,0.0,7.0,13.575403080554679,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,67.28,67.28,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1417614833544037
00-0039379,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,7,22.0,0,0.0,0.0,51.0,14.0,2.0,-2.1402778712799773,0,5.866666666666667,0.17437685029311556,0.18380340101224615,0.3902276561482456,0.0,2.2,5.2,6,0.027559055118110236,0.026493506493506493,0.01715686274509804,0.06253338787197055,0.0140485312899106,0.0,0.02702702702702703,0.024691358024691357,0.0070242656449553,0.011238825031928482,0.08661417322834646,0.010716346550160745
00-0039384,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,192,839.0,5,2.0,2.0,39.0,-20.713866294837892,0,38,53,284.0,1,2.0,0.0,18.0,281.0,13.0,-4.922650759108365,0,-48.28791208791209,1.5682277572584575,0.08724959720489549,2.413416353931113,0.0,144.3,182.3,17,0.08967851099830795,0.004478726051256532,0.16177317213586645,0.13810074733846717,0.08065890372053394,0.06666666666666667,0.07647058823529412,0.07567567567567568,0.07366278519360031,0.07786045630976049,0.4805414551607445,0.14734408845494812
00-0039386,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,15,118.0,1,0.0,0.0,170.0,20.0,7.0,3.358492489263881,0,2.2984848484848484,0.40671390013495273,0.604512776474992,1.0332297937349235,0.0,17.8,26.8,4,0.10344827586206896,0.1532912533814247,0.046511627906976744,0.2778054164982432,0.12633832976445397,0.2,0.19444444444444445,0.1951219512195122,0.163169164882227,0.1410706638115632,0.8137931034482758,0.08041769189221629
